# 2026-09-02 15:09 CST (mac): Record the reproducible local-only literature archive for both hosts; PDF payloads under downloads/ are intentionally ignored by Git.
category	year	title	url	filename	bytes	pages	sha256
few	2025	The Fast and the Frame-Dragging: Efficient waveforms for asymmetric-mass eccentric equatorial inspirals into rapidly-spinning black holes	https://arxiv.org/abs/2506.09470	FEW_2025_frame_dragging_arXiv2506.09470.pdf	13647774	65	738a4bee5a30142e94289f7d489365eff7a832a0cf6560ad400f80dfee00e6d0
accuracy	2008	Model Waveform Accuracy Standards for Gravitational Wave Data Analysis	https://arxiv.org/abs/0809.3844	GW_2008_model_accuracy_standards_arXiv0809.3844.pdf	309769	12	f645402cb4ceb19118f7d5fdf25fec334877e6b94d9cca522775c6947537b4ba
accuracy	2009	Use and abuse of the model waveform accuracy standards	https://arxiv.org/abs/0907.0457	GW_2009_use_abuse_accuracy_standards_arXiv0907.0457.pdf	223130	10	f031c416ccd87a9cba01c60e64cc5518405d4fdb2fc85ed4e107a05002ffad98
accuracy	2010	Improved time-domain accuracy standards for model gravitational waveforms	https://arxiv.org/abs/1008.1803	GW_2010_time_domain_accuracy_standards_arXiv1008.1803.pdf	291725	10	29e0f4b7f0bdb15c20311696b5f2b0fd7ed16d00a8b012a312b6aa1803b7e7fd
lisa	2019	Construction and use of LISA sensitivity curves	https://arxiv.org/abs/1803.01944	LISA_2019_sensitivity_curve_arXiv1803.01944.pdf	1219953	16	7d7c2f6da4b1ae713035887f9f8627e399880349be5f21280708e89ab73dddc0
lisa	2022	Assessing the data-analysis impact of LISA orbit approximations using a GPU-accelerated response model	https://arxiv.org/abs/2204.06633	LISA_2022_fast_response_GPU_arXiv2204.06633.pdf	1398688	15	b6c6e89a85416ffac278afa6d523cdb68d6438fe5f3904409856d206064d457e
numerics	2000	Quad-Double Arithmetic: Algorithms, Implementation, and Application	https://www.davidhbailey.com/dhbpapers/qd.pdf	NUM_2000_quad_double_LBNL.pdf	194502	24	aea02b65374391ff75f72ed342861fea05efc3a68968c04883335eb51185cb3f
numerics	2005	Accurate Sum and Dot Product	https://www.tuhh.de/ti3/paper/rump/OgRuOi05.pdf	NUM_2005_accurate_sum_dot_product.pdf	373558	34	56e897ffce0a843ea531769d50b8466241ae4f01094b0ddf83d8fff74255cfcc
numerics	2006	Implementation of float-float operators on graphics hardware	https://arxiv.org/abs/cs/0603115	NUM_2006_float_float_GPU_arXiv_cs0603115.pdf	152427	10	7433eed835a38adbede53fc4570f4af04807ccf3583991b0a05fc287c846ace5
numerics	2015	Fast exact summation using small and large superaccumulators	https://arxiv.org/abs/1505.05571	NUM_2015_exact_superaccumulator_arXiv1505.05571.pdf	333707	22	f054865c6dd939e8df090346754fff46091606c560578b2949bbb02208a0995f
numerics	2020	SLEEF: A Portable Vectorized Library of C Standard Mathematical Functions	https://arxiv.org/abs/2001.09258	NUM_2020_SLEEF_arXiv2001.09258.pdf	339430	14	74146ef6d959d6962dd87f23b57d50ba9ffc6adac2d72f92ace93387af2a6d42
numerics	2020	Algorithms for Efficient Reproducible Floating Point Summation	https://willowahrens.net/assets/documents/ahrens_algorithms_2020.pdf	NUM_2020_reproducible_summation_TOMS.pdf	686150	49	ad1be574b935bdde4d82bb5a5caf1d769a013a592a71f4a099d3761ec7204f76
numerics	2026	Correctly Rounded Functions for Vector Applications: A Performance Study	https://arxiv.org/abs/2605.15547	NUM_2026_correct_rounding_vector_GPU_arXiv2605.15547.pdf	765770	5	02906078e531d1b914821cf86505a6e7861adf906d348216fda1c585cde24252
cuda	2026	CUDA C++ Best Practices Guide 13.1	https://docs.nvidia.com/cuda/archive/13.1.2/pdf/CUDA_C_Best_Practices_Guide.pdf	NVIDIA_CUDA_Best_Practices_13.1.pdf	2335284	118	4289bfb2db6f4bdabec1262c5d5630abbaac081686c26342bf3a2be54ce2ec1f
cuda	2026	Floating Point and IEEE 754 Compliance for NVIDIA GPUs	https://docs.nvidia.com/cuda/archive/13.0.3/pdf/Floating_Point_on_NVIDIA_GPU.pdf	NVIDIA_CUDA_Floating_Point_IEEE754_13.0.pdf	264009	28	27d86a05148e0d1ce9d0a4e387c62cd6a53380a580447ac7850c5a7247e537b3
physics	2009	Analytical solutions of bound timelike geodesic orbits in Kerr spacetime	https://arxiv.org/abs/0906.1420	PHYS_2009_Kerr_bound_geodesics_arXiv0906.1420.pdf	300401	23	f1781b7b4c243311466eb3c49bd50428ac720bbcc617cdeb6abfbb4ee53460f4
physics	2018	Self-force and radiation reaction in general relativity	https://arxiv.org/abs/1805.10385	PHYS_2018_self_force_review_arXiv1805.10385.pdf	6055399	79	7d1ebab454b69a7c8536c8885c2248e5171bd618930c2af0af7f87f342c693c2
